Código FIPE,Modelo,Ano,Mês de Referência,Preço
057003-6,SC 400 4.0 V8,1994,setembro de 2020 ,"R$ 28.911,00"
057003-6,SC 400 4.0 V8,1994,julho de 2021 ,"R$ 29.416,00"
057003-6,SC 400 4.0 V8,1994,maio de 2021 ,"R$ 28.561,00"
057049-4,UX-250h Luxury 2.0 16V Aut.(Hybrid),2021,outubro de 2021 ,"R$ 288.325,00"
057050-8,UX-250h Dynamic 2.0 16V Aut.(Hybrid),2020,outubro de 2020 ,"R$ 200.914,00"
057028-1,ES-350 3.5 24V 284cv,2007,março de 2020 ,"R$ 59.562,00"
057049-4,UX-250h Luxury 2.0 16V Aut.(Hybrid),2021,novembro de 2021 ,"R$ 282.558,00"
057049-4,UX-250h Luxury 2.0 16V Aut.(Hybrid),2020,janeiro de 2021 ,"R$ 226.985,00"
057050-8,UX-250h Dynamic 2.0 16V Aut.(Hybrid),2019,setembro de 2020 ,"R$ 155.642,00"
057050-8,UX-250h Dynamic 2.0 16V Aut.(Hybrid),2020,março de 2021 ,"R$ 203.772,00"
