Código FIPE,Modelo,Ano,Mês de Referência,Preço
021436-1,C-180 CGI Coupe Sport 1.5 TB 16V Aut.,2020,agosto de 2021 ,"R$ 265.007,00"
021436-1,C-180 CGI Coupe Sport 1.5 TB 16V Aut.,2020,setembro de 2021 ,"R$ 272.154,00"
021377-2,C-180 CGI Coupe Avant. 1.6 TB 16V Aut.,2018,junho de 2020 ,"R$ 146.760,00"
021331-4,C-180 1.6 Turbo 16V/Flex 16V Aut.,2015,agosto de 2020 ,"R$ 90.461,00"
021377-2,C-180 CGI Coupe Avant. 1.6 TB 16V Aut.,2018,julho de 2020 ,"R$ 146.188,00"
021308-0,C-180 CGI Avant. 1.6/1.6 FlexTB 16V Aut.,2017,abril de 2020 ,"R$ 111.537,00"
021452-3,A-45  S AMG 4MATIC CGI 2.0 TB Aut.,2020,dezembro de 2020 ,"R$ 378.523,00"
021281-4,C-180 CGI Coupe Sport 1.6 TB 16V Aut.,2019,julho de 2021 ,"R$ 221.973,00"
021320-9,C-180 CGI Estate Avant. 1.6 TB 16V Aut.,2016,fevereiro de 2020 ,"R$ 110.762,00"
021280-6,C-180 CGI Sport 1.6 TB 16V 156cv Aut.,2013,junho de 2021 ,"R$ 60.791,00"
021320-9,C-180 CGI Estate Avant. 1.6 TB 16V Aut.,2016,janeiro de 2020 ,"R$ 112.945,00"
021307-1,C-180 CGI Exc. 1.6/1.6 Flex TB 16V  Aut.,2019,novembro de 2021 ,"R$ 184.854,00"
021307-1,C-180 CGI Exc. 1.6/1.6 Flex TB 16V  Aut.,2019,outubro de 2021 ,"R$ 180.864,00"
021307-1,C-180 CGI Exc. 1.6/1.6 Flex TB 16V  Aut.,2019,dezembro de 2021 ,"R$ 186.369,00"
021307-1,C-180 CGI Exc. 1.6/1.6 Flex TB 16V  Aut.,2019,setembro de 2021 ,"R$ 178.577,00"
021307-1,C-180 CGI Exc. 1.6/1.6 Flex TB 16V  Aut.,2019,agosto de 2021 ,"R$ 174.513,00"
021282-2,C-180 CGI Touring Sport 1.6 TB Aut.,2013,novembro de 2021 ,"R$ 78.492,00"
021282-2,C-180 CGI Touring Sport 1.6 TB Aut.,2013,outubro de 2020 ,"R$ 65.190,00"
021282-2,C-180 CGI Touring Sport 1.6 TB Aut.,2013,setembro de 2020 ,"R$ 64.040,00"
021001-3,C-180 Classic/Classic Plus/Elegance,2001,julho de 2020 ,"R$ 25.396,00"
021001-3,C-180 Classic/Classic Plus/Elegance,2001,maio de 2020 ,"R$ 25.857,00"
021282-2,C-180 CGI Touring Sport 1.6 TB Aut.,2013,abril de 2020 ,"R$ 66.319,00"
021151-6,C-180 Kompressor Classic 1.8 16V 143cv,2007,fevereiro de 2021 ,"R$ 35.536,00"
021151-6,C-180 Kompressor Classic 1.8 16V 143cv,2006,abril de 2021 ,"R$ 35.769,00"
021151-6,C-180 Kompressor Classic 1.8 16V 143cv,2006,maio de 2021 ,"R$ 35.863,00"
021151-6,C-180 Kompressor Classic 1.8 16V 143cv,2006,março de 2021 ,"R$ 35.071,00"
021308-0,C-180 CGI Avant. 1.6/1.6 FlexTB 16V Aut.,2015,junho de 2020 ,"R$ 90.785,00"
021151-6,C-180 Kompressor Classic 1.8 16V 143cv,2005,junho de 2021 ,"R$ 35.559,00"
021001-3,C-180 Classic/Classic Plus/Elegance,2000,junho de 2020 ,"R$ 24.252,00"
021001-3,C-180 Classic/Classic Plus/Elegance,1999,setembro de 2020 ,"R$ 23.110,00"
021151-6,C-180 Kompressor Classic 1.8 16V 143cv,2005,novembro de 2020 ,"R$ 32.000,00"
021151-6,C-180 Kompressor Classic 1.8 16V 143cv,2005,janeiro de 2021 ,"R$ 32.710,00"
021233-4,C-200 CGI Avantgarde 1.8 16V 184cv Aut.,2013,julho de 2020 ,"R$ 69.104,00"
021310-1,C-200 Avantgarde 2.0 TB 16V 184cv Aut.,2015,setembro de 2021 ,"R$ 120.641,00"
021233-4,C-200 CGI Avantgarde 1.8 16V 184cv Aut.,2013,outubro de 2020 ,"R$ 67.092,00"
021310-1,C-200 Avantgarde 2.0 TB 16V 184cv Aut.,2016,agosto de 2021 ,"R$ 130.194,00"
021233-4,C-200 CGI Avantgarde 1.8 16V 184cv Aut.,2013,maio de 2020 ,"R$ 69.031,00"
021233-4,C-200 CGI Avantgarde 1.8 16V 184cv Aut.,2013,abril de 2020 ,"R$ 69.187,00"
021310-1,C-200 Avantgarde 2.0 TB 16V 184cv Aut.,2015,junho de 2021 ,"R$ 115.186,00"
021233-4,C-200 CGI Avantgarde 1.8 16V 184cv Aut.,2012,setembro de 2020 ,"R$ 64.554,00"
021234-2,C-200 CGI Sport 1.8 TB 16V 184cv Aut.,2010,fevereiro de 2021 ,"R$ 46.490,00"
021123-0,C-200 Kompressor 2.0 V6 16v 4p Aut.,2002,maio de 2020 ,"R$ 31.795,00"
021233-4,C-200 CGI Avantgarde 1.8 16V 184cv Aut.,2012,agosto de 2020 ,"R$ 63.551,00"
021142-7,C-200 Touring Komp. 2.0 16V 163cv 5p Aut,2003,setembro de 2021 ,"R$ 39.111,00"
021237-7,C-200 CGI Touring Avantgarde 1.8 16V Aut,2011,janeiro de 2021 ,"R$ 63.011,00"
021399-3,C-200 EQ Boost 1.5 TB 16V 183cv Aut.,2019,novembro de 2021 ,"R$ 212.982,00"
021233-4,C-200 CGI Avantgarde 1.8 16V 184cv Aut.,2011,junho de 2020 ,"R$ 57.154,00"
021237-7,C-200 CGI Touring Avantgarde 1.8 16V Aut,2011,março de 2021 ,"R$ 64.465,00"
021202-4,C-200 Kompressor Classic 1.8 16V Aut.,2010,janeiro de 2020 ,"R$ 48.085,00"
021076-5,C-200 Classic/Sport,1993,março de 2020 ,"R$ 13.226,00"
021237-7,C-200 CGI Touring Avantgarde 1.8 16V Aut,2010,fevereiro de 2021 ,"R$ 59.483,00"
021143-5,C-200 Sportcoupé Komp. 2.0 16V 163cv Aut,2002,dezembro de 2021 ,"R$ 36.005,00"
021143-5,C-200 Sportcoupé Komp. 2.0 16V 163cv Aut,2003,outubro de 2021 ,"R$ 36.917,00"
