Código FIPE,Modelo,Ano,Mês de Referência,Preço
801016-1,SUPER CITY 150,1994,novembro de 2020 ,"R$ 3.634,00"
801014-5,SST 13.5 125cc,1994,agosto de 2020 ,"R$ 1.065,00"
801017-0,SXT 27.5 E 190cc,1992,julho de 2021 ,"R$ 1.817,00"
801016-1,SUPER CITY 150,1996,janeiro de 2020 ,"R$ 4.408,00"
801014-5,SST 13.5 125cc,1992,fevereiro de 2021 ,"R$ 936,00"
801016-1,SUPER CITY 150,1995,janeiro de 2021 ,"R$ 4.038,00"
801016-1,SUPER CITY 150,1994,agosto de 2021 ,"R$ 3.730,00"
801016-1,SUPER CITY 150,1995,agosto de 2020 ,"R$ 4.093,00"
801017-0,SXT 27.5 E 190cc,1991,julho de 2021 ,"R$ 1.526,00"
801016-1,SUPER CITY 150,1994,agosto de 2020 ,"R$ 3.664,00"
801020-0,SUPER CITY 125,1994,janeiro de 2021 ,"R$ 2.487,00"
801014-5,SST 13.5 125cc,1993,agosto de 2020 ,"R$ 1.008,00"
801017-0,SXT 27.5 E 190cc,1990,julho de 2021 ,"R$ 1.433,00"
801014-5,SST 13.5 125cc,1991,fevereiro de 2021 ,"R$ 894,00"
801016-1,SUPER CITY 150,1996,abril de 2020 ,"R$ 4.374,00"
801014-5,SST 13.5 125cc,1997,janeiro de 2020 ,"R$ 1.479,00"
801014-5,SST 13.5 125cc,1994,maio de 2020 ,"R$ 1.074,00"
801014-5,SST 13.5 125cc,1994,janeiro de 2021 ,"R$ 1.050,00"
801014-5,SST 13.5 125cc,1993,maio de 2021 ,"R$ 981,00"
801017-0,SXT 27.5 E 190cc,1995,abril de 2021 ,"R$ 2.217,00"
801014-5,SST 13.5 125cc,1995,outubro de 2020 ,"R$ 1.129,00"
801017-0,SXT 27.5 E 190cc,1993,junho de 2021 ,"R$ 1.861,00"
801014-5,SST 13.5 125cc,1993,março de 2020 ,"R$ 1.023,00"
801016-1,SUPER CITY 150,1995,janeiro de 2020 ,"R$ 4.170,00"
801016-1,SUPER CITY 150,1994,maio de 2020 ,"R$ 3.694,00"
801017-0,SXT 27.5 E 190cc,1995,outubro de 2021 ,"R$ 2.368,00"
801014-5,SST 13.5 125cc,1994,dezembro de 2020 ,"R$ 1.053,00"
801014-5,SST 13.5 125cc,1990,dezembro de 2021 ,"R$ 910,00"
801016-1,SUPER CITY 150,1994,dezembro de 2020 ,"R$ 3.624,00"
