Código FIPE,Modelo,Ano,Mês de Referência,Preço
801009-9,ELEFANTRE 30.0 ES 190cc,1993,setembro de 2021 ,"R$ 2.097,00"
801012-9,JUNIOR 50,1995,agosto de 2020 ,"R$ 973,00"
801011-0,FORCE 90,1997,agosto de 2020 ,"R$ 1.658,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1990,março de 2021 ,"R$ 1.634,00"
801011-0,FORCE 90,1998,setembro de 2020 ,"R$ 1.773,00"
801014-5,SST 13.5 125cc,1998,dezembro de 2021 ,"R$ 1.611,00"
801012-9,JUNIOR 50,1996,junho de 2020 ,"R$ 1.020,00"
801010-2,FORCE 50,1999,janeiro de 2020 ,"R$ 1.827,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1990,janeiro de 2020 ,"R$ 1.697,00"
801010-2,FORCE 50,1998,fevereiro de 2020 ,"R$ 1.622,00"
801010-2,FORCE 50,1998,janeiro de 2020 ,"R$ 1.626,00"
801014-5,SST 13.5 125cc,1998,julho de 2021 ,"R$ 1.538,00"
801011-0,FORCE 90,1997,outubro de 2021 ,"R$ 1.736,00"
801010-2,FORCE 50,1997,janeiro de 2020 ,"R$ 1.569,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1990,fevereiro de 2021 ,"R$ 1.638,00"
801014-5,SST 13.5 125cc,1998,novembro de 2020 ,"R$ 1.520,00"
801012-9,JUNIOR 50,1996,dezembro de 2020 ,"R$ 1.002,00"
801012-9,JUNIOR 50,1996,julho de 2021 ,"R$ 1.014,00"
801011-0,FORCE 90,1998,fevereiro de 2021 ,"R$ 1.748,00"
801012-9,JUNIOR 50,1995,julho de 2021 ,"R$ 973,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1991,junho de 2021 ,"R$ 1.726,00"
801012-9,JUNIOR 50,1995,maio de 2020 ,"R$ 982,00"
801010-2,FORCE 50,1998,novembro de 2020 ,"R$ 1.586,00"
801012-9,JUNIOR 50,1995,dezembro de 2020 ,"R$ 961,00"
801014-5,SST 13.5 125cc,1998,março de 2021 ,"R$ 1.504,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1993,outubro de 2020 ,"R$ 2.020,00"
801011-0,FORCE 90,1997,fevereiro de 2020 ,"R$ 1.687,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1992,setembro de 2021 ,"R$ 1.865,00"
801012-9,JUNIOR 50,1996,novembro de 2021 ,"R$ 1.058,00"
801011-0,FORCE 90,1997,maio de 2020 ,"R$ 1.672,00"
801014-5,SST 13.5 125cc,1998,agosto de 2020 ,"R$ 1.532,00"
801010-2,FORCE 50,1997,fevereiro de 2020 ,"R$ 1.565,00"
801011-0,FORCE 90,1999,outubro de 2020 ,"R$ 2.036,00"
801014-5,SST 13.5 125cc,1997,agosto de 2020 ,"R$ 1.451,00"
801014-5,SST 13.5 125cc,1997,novembro de 2020 ,"R$ 1.439,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1992,dezembro de 2021 ,"R$ 2.003,00"
801014-5,SST 13.5 125cc,1997,dezembro de 2021 ,"R$ 1.524,00"
801011-0,FORCE 90,1997,setembro de 2020 ,"R$ 1.654,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1990,junho de 2021 ,"R$ 1.650,00"
801011-0,FORCE 90,1997,julho de 2020 ,"R$ 1.662,00"
801012-9,JUNIOR 50,1995,junho de 2020 ,"R$ 979,00"
801011-0,FORCE 90,1997,maio de 2021 ,"R$ 1.622,00"
801014-5,SST 13.5 125cc,1995,setembro de 2021 ,"R$ 1.169,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1994,dezembro de 2020 ,"R$ 2.305,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1991,dezembro de 2021 ,"R$ 1.940,00"
801012-9,JUNIOR 50,1996,janeiro de 2020 ,"R$ 1.035,00"
801011-0,FORCE 90,1998,novembro de 2020 ,"R$ 1.763,00"
801010-2,FORCE 50,1997,novembro de 2020 ,"R$ 1.529,00"
801014-5,SST 13.5 125cc,1996,dezembro de 2021 ,"R$ 1.338,00"
801011-0,FORCE 90,1998,junho de 2020 ,"R$ 1.788,00"
801011-0,FORCE 90,1997,junho de 2020 ,"R$ 1.667,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1990,dezembro de 2021 ,"R$ 1.825,00"
801014-5,SST 13.5 125cc,1997,março de 2021 ,"R$ 1.423,00"
801010-2,FORCE 50,1997,fevereiro de 2021 ,"R$ 1.517,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1991,setembro de 2021 ,"R$ 1.797,00"
801014-5,SST 13.5 125cc,1998,março de 2020 ,"R$ 1.552,00"
801011-0,FORCE 90,1997,fevereiro de 2021 ,"R$ 1.634,00"
801020-0,SUPER CITY 125,1994,julho de 2021 ,"R$ 2.671,00"
801012-9,JUNIOR 50,1995,janeiro de 2020 ,"R$ 994,00"
801014-5,SST 13.5 125cc,1998,maio de 2021 ,"R$ 1.496,00"
801014-5,SST 13.5 125cc,1998,junho de 2021 ,"R$ 1.518,00"
801014-5,SST 13.5 125cc,1996,agosto de 2020 ,"R$ 1.278,00"
801012-9,JUNIOR 50,1995,abril de 2021 ,"R$ 949,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1992,outubro de 2020 ,"R$ 1.801,00"
801014-5,SST 13.5 125cc,1997,julho de 2021 ,"R$ 1.455,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1991,agosto de 2021 ,"R$ 1.773,00"
801014-5,SST 13.5 125cc,1996,julho de 2021 ,"R$ 1.279,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1991,outubro de 2020 ,"R$ 1.736,00"
801020-0,SUPER CITY 125,1994,março de 2021 ,"R$ 2.475,00"
801014-5,SST 13.5 125cc,1995,julho de 2021 ,"R$ 1.139,00"
801014-5,SST 13.5 125cc,1997,maio de 2021 ,"R$ 1.415,00"
801014-5,SST 13.5 125cc,1994,setembro de 2021 ,"R$ 1.095,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1991,setembro de 2020 ,"R$ 1.741,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1990,outubro de 2020 ,"R$ 1.654,00"
801014-5,SST 13.5 125cc,1995,dezembro de 2021 ,"R$ 1.192,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1993,dezembro de 2020 ,"R$ 2.010,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1990,agosto de 2021 ,"R$ 1.694,00"
801014-5,SST 13.5 125cc,1993,setembro de 2021 ,"R$ 1.034,00"
801011-0,FORCE 90,1998,setembro de 2021 ,"R$ 1.830,00"
801011-0,FORCE 90,1997,setembro de 2021 ,"R$ 1.713,00"
801020-0,SUPER CITY 125,1994,novembro de 2020 ,"R$ 2.499,00"
801011-0,FORCE 90,1997,novembro de 2020 ,"R$ 1.646,00"
801014-5,SST 13.5 125cc,1998,agosto de 2021 ,"R$ 1.559,00"
801014-5,SST 13.5 125cc,1995,agosto de 2020 ,"R$ 1.135,00"
801014-5,SST 13.5 125cc,1998,fevereiro de 2020 ,"R$ 1.556,00"
801009-9,ELEFANTRE 30.0 ES 190cc,1990,setembro de 2020 ,"R$ 1.658,00"
