Código FIPE,Modelo,Ano,Mês de Referência,Preço
515024-8,14-200 T 3-Eixos 2p (diesel),1992,janeiro de 2021 ,"R$ 41.349,00"
515025-6,14-200 Turbo 2p (diesel),1992,março de 2021 ,"R$ 32.442,00"
515027-2,14-210 Turbo 2p (diesel),1989,setembro de 2020 ,"R$ 39.244,00"
515028-0,14-220 2p (diesel),1997,fevereiro de 2021 ,"R$ 56.254,00"
515025-6,14-200 Turbo 2p (diesel),1992,abril de 2021 ,"R$ 32.390,00"
515026-4,14-210 T 3-Eixos 2p (diesel),1989,junho de 2021 ,"R$ 44.364,00"
515029-9,14-220 3-Eixos 2p (diesel),1998,outubro de 2020 ,"R$ 64.394,00"
515026-4,14-210 T 3-Eixos 2p (diesel),1989,maio de 2021 ,"R$ 41.462,00"
515029-9,14-220 3-Eixos 2p (diesel),1998,setembro de 2020 ,"R$ 64.569,00"
515072-8,15-170/15-170 E Worker 2p (diesel),2004,julho de 2020 ,"R$ 55.164,00"
515029-9,14-220 3-Eixos 2p (diesel),1998,julho de 2020 ,"R$ 65.788,00"
515072-8,15-170/15-170 E Worker 2p (diesel),2004,junho de 2020 ,"R$ 55.425,00"
515028-0,14-220 2p (diesel),1997,janeiro de 2021 ,"R$ 55.570,00"
515072-8,15-170/15-170 E Worker 2p (diesel),2004,maio de 2020 ,"R$ 55.687,00"
515073-6,15-170/15-170 E Worker 3-Eixos 2p (die.),2005,novembro de 2020 ,"R$ 61.429,00"
515029-9,14-220 3-Eixos 2p (diesel),1997,agosto de 2020 ,"R$ 61.019,00"
515073-6,15-170/15-170 E Worker 3-Eixos 2p (die.),2004,dezembro de 2020 ,"R$ 55.966,00"
515072-8,15-170/15-170 E Worker 2p (diesel),2004,abril de 2020 ,"R$ 55.950,00"
515029-9,14-220 3-Eixos 2p (diesel),1997,junho de 2020 ,"R$ 61.339,00"
515029-9,14-220 3-Eixos 2p (diesel),1997,maio de 2020 ,"R$ 61.499,00"
515115-5,15-180 E Constellation 2p (diesel),2011,abril de 2020 ,"R$ 95.089,00"
515115-5,15-180 E Constellation 2p (diesel),2010,março de 2020 ,"R$ 89.519,00"
515074-4,15-180/15-180 E Worker 2p (diesel),2012,fevereiro de 2020 ,"R$ 85.172,00"
515115-5,15-180 E Constellation 2p (diesel),2010,maio de 2020 ,"R$ 89.369,00"
515074-4,15-180/15-180 E Worker 2p (diesel),2011,março de 2020 ,"R$ 81.995,00"
515115-5,15-180 E Constellation 2p (diesel),2010,fevereiro de 2020 ,"R$ 89.512,00"
515074-4,15-180/15-180 E Worker 2p (diesel),2011,janeiro de 2020 ,"R$ 81.038,00"
515075-2,15-180/15-180 E Worker 3-Eixos 2p (die.),2010,setembro de 2020 ,"R$ 85.877,00"
515075-2,15-180/15-180 E Worker 3-Eixos 2p (die.),2010,agosto de 2020 ,"R$ 86.072,00"
515075-2,15-180/15-180 E Worker 3-Eixos 2p (die.),2011,julho de 2020 ,"R$ 86.788,00"
515115-5,15-180 E Constellation 2p (diesel),2010,janeiro de 2020 ,"R$ 89.166,00"
515087-6,15-190 3-Eixos 2p (diesel),2004,dezembro de 2021 ,"R$ 90.305,00"
515075-2,15-180/15-180 E Worker 3-Eixos 2p (die.),2010,junho de 2020 ,"R$ 83.544,00"
515074-4,15-180/15-180 E Worker 2p (diesel),2011,dezembro de 2021 ,"R$ 126.292,00"
515075-2,15-180/15-180 E Worker 3-Eixos 2p (die.),2010,maio de 2020 ,"R$ 83.412,00"
515134-1,15-190 E Constellation 2p (diesel)(E5),2018,abril de 2020 ,"R$ 144.225,00"
515134-1,15-190 E Constellation 2p (diesel)(E5),2018,fevereiro de 2020 ,"R$ 142.115,00"
515087-6,15-190 3-Eixos 2p (diesel),2003,novembro de 2021 ,"R$ 77.493,00"
515030-2,16-170 2p (diesel),1998,outubro de 2021 ,"R$ 53.577,00"
515134-1,15-190 E Constellation 2p (diesel)(E5),2018,janeiro de 2020 ,"R$ 141.965,00"
515030-2,16-170 2p (diesel),1997,setembro de 2021 ,"R$ 50.322,00"
515031-0,16-170 3-Eixos 2p (diesel),1998,agosto de 2021 ,"R$ 56.255,00"
515134-1,15-190 E Constellation 2p (diesel)(E5),2018,dezembro de 2021 ,"R$ 214.549,00"
515031-0,16-170 3-Eixos 2p (diesel),1997,novembro de 2021 ,"R$ 58.039,00"
515031-0,16-170 3-Eixos 2p (diesel),1997,outubro de 2021 ,"R$ 57.837,00"
515151-1,15-190 E Worker 2p (diesel)(E5),2017,dezembro de 2021 ,"R$ 180.215,00"
515134-1,15-190 E Constellation 2p (diesel)(E5),2018,março de 2020 ,"R$ 143.211,00"
